ColumnID,Year17,Year15,Year16
31,Q6 | Generic Brand Acetaminophen, [Generic Brand Acetaminophen], [Generic Brand Acetaminophen]
32,Q6 | Glow sticks, [Glow sticks], [Glow sticks]
33,Q6 | Goo Goo Clusters, [Goo Goo Clusters], [Goo Goo Clusters]
34,Q6 | Good N' Plenty, [Good N' Plenty], [Good N' Plenty]
35,Q6 | Gum from baseball cards, [Gum from baseball cards], [Gum from baseball cards]
36,Q6 | Gummy Bears straight up, [Gummy Bears straight up], [Gummy Bears straight up]
37,Q6 | Hard Candy, [Hard Candy], [Hard Candy]
38,Q6 | Healthy Fruit, [Healthy Fruit], [Healthy Fruit]
39,Q6 | Heath Bar, [Heath Bar], [Heath Bar]
40,Q6 | Hershey's Dark Chocolate, [Dark Chocolate Hershey], [Hershey's Dark Chocolate]
41,Q6 | Hershey’s Milk Chocolate, [Hershey’s Milk Chocolate], [Hershey’s Milk Chocolate]
42,Q6 | Hershey's Kisses, [Hershey’s Kissables], [Hershey's Kisses]
43,Q6 | Hugs (actual physical hugs), [Hugs (actual physical hugs)], [Hugs (actual physical hugs)]
44,Q6 | Jolly Rancher (bad flavor), [Jolly Rancher (bad flavor)], [Jolly Rancher (bad flavor)]
45,Q6 | Jolly Ranchers (good flavor), [Jolly Ranchers (good flavor)], [Jolly Ranchers (good flavor)]
46,Q6 | JoyJoy (Mit Iodine!), [JoyJoy (Mit Iodine)], [JoyJoy (Mit Iodine!)]
47,Q6 | Junior Mints, [Junior Mints], [Junior Mints]
48,Q6 | Senior Mints, [Senior Mints], [Senior Mints]
49,Q6 | Kale smoothie, [Kale smoothie], [Kale smoothie]
50,Q6 | Kinder Happy Hippo, [Kinder Happy Hippo], [Kinder Happy Hippo]
51,Q6 | Kit Kat, [Kit Kat], [Kit Kat]
52,Q6 | LaffyTaffy, [LaffyTaffy], [LaffyTaffy]
53,Q6 | LemonHeads, [LemonHeads], [LemonHeads]
54,Q6 | Licorice (not black), [Licorice (not black)], [Licorice (not black)]
55,Q6 | Licorice (yes black), [Licorice], [Licorice (yes black)]
56,Q6 | Lindt Truffle, [Lindt Truffle], [Lindt Truffle]
57,Q6 | Lollipops, [Lollipops], [Lollipops]
58,Q6 | Mars, [Mars], [Mars]
59,Q6 | Maynards, [Maynards], [Maynards]
60,Q6 | Mike and Ike,#N/A, [Mike and Ike]
61,Q6 | Milk Duds, [Milk Duds], [Milk Duds]
62,Q6 | Milky Way, [Milky Way], [Milky Way]
63,Q6 | Regular M&Ms, [Regular M&Ms], [Regular M&Ms]
64,Q6 | Peanut M&M’s, [Peanut M&M’s], [Peanut M&M’s]
65,Q6 | Blue M&M's,#N/A, [Blue M&M's]
66,Q6 | Red M&M's,#N/A, [Red M&M's]
67,Q6 | Green Party M&M's,#N/A, [Third Party M&M's]
68,Q6 | Independent M&M's,#N/A,#N/A
69,Q6 | Abstained from M&M'ing.,#N/A,#N/A
70,Q6 | Minibags of chips, [Minibags of chips], [Minibags of chips]
71,Q6 | Mint Kisses, [Mint Kisses], [Mint Kisses]
72,Q6 | Mint Juleps, [Mint Juleps], [Mint Juleps]
73,Q6 | Mr. Goodbar,#N/A, [Mr. Goodbar]
74,Q6 | Necco Wafers, [Necco Wafers], [Necco Wafers]
75,Q6 | Nerds, [Nerds], [Nerds]
76,Q6 | Nestle Crunch, [Nestle Crunch], [Nestle Crunch]
77,Q6 | Now'n'Laters, [Now'n'Laters], [Now'n'Laters]
78,Q6 | Peeps,#N/A, [Peeps]
79,Q6 | Pencils, [Pencils], [Pencils]
80,Q6 | Pixy Stix, [Pixy Stix], [Pixy Stix]
81,Q6 | Real Housewives of Orange County Season 9 Blue-Ray,#N/A,#N/A
82,Q6 | Reese’s Peanut Butter Cups, [Reese’s Peanut Butter Cups], [Reese’s Peanut Butter Cups]
83,Q6 | Reese's Pieces,#N/A, [Reese's Pieces]
84,Q6 | Reggie Jackson Bar, [Reggie Jackson Bar], [Reggie Jackson Bar]
85,Q6 | Rolos, [Rolos], [Rolos]
86,Q6 | Sandwich-sized bags filled with BooBerry Crunch,#N/A,#N/A
87,Q6 | Skittles, [Skittles], [Skittles]
88,Q6 | Smarties (American), [Smarties (American)], [Smarties (American)]
89,Q6 | Smarties (Commonwealth), [Smarties (Commonwealth)], [Smarties (Commonwealth)]
90,Q6 | Snickers, [Snickers], [Snickers]
91,Q6 | Sourpatch Kids (i.e. abominations of nature),#N/A, [Sourpatch Kids (i.e. abominations of nature)]
92,Q6 | Spotted Dick, [Spotted Dick], [Spotted Dick]
93,Q6 | Starburst, [Starburst], [Starburst]
94,Q6 | Sweet Tarts,#N/A, [Sweet Tarts]
95,Q6 | Swedish Fish, [Swedish Fish], [Swedish Fish]
96,Q6 | Sweetums (a friend to diabetes), [Sweetums], [Sweetums (a friend to diabetes)]
97,Q6 | Take 5,#N/A,#N/A
98,Q6 | Tic Tacs,#N/A, [Tic Tacs]
99,Q6 | Those odd marshmallow circus peanut things, [Those odd marshmallow circus peanut things], [Those odd marshmallow circus peanut things]
100,Q6 | Three Musketeers, [Three Musketeers], [Three Musketeers]
101,Q6 | Tolberone something or other, [Tolberone something or other], [Tolberone something or other]
102,Q6 | Trail Mix, [Trail Mix], [Trail Mix]
103,Q6 | Twix, [Twix], [Twix]
104,"Q6 | Vials of pure high fructose corn syrup, for main-lining into your vein"," [Vials of pure high fructose corn syrup, for main-lining into your vein]"," [Vials of pure high fructose corn syrup, for main-lining into your vein]"
105,Q6 | Vicodin, [Vicodin], [Vicodin]
106,Q6 | Whatchamacallit Bars,#N/A, [Whatchamacallit Bars]
107,Q6 | White Bread, [White Bread], [White Bread]
108,Q6 | Whole Wheat anything, [Whole Wheat anything], [Whole Wheat anything]
109,Q6 | York Peppermint Patties, [York Peppermint Patties], [York Peppermint Patties]
110,Q7: JOY OTHER,Please list any items not included above that give you JOY.,Please list any items not included above that give you JOY.
111,Q8: DESPAIR OTHER,Please list any items not included above that give you DESPAIR.,Please list any items not included above that give you DESPAIR.
112,Q9: OTHER COMMENTS,Please leave any remarks or comments regarding your choices.,"Please leave any witty, snarky or thoughtful remarks or comments regarding your choices."
